id,question_type,language,question,expected_refusal,expected_sections,retrieved_section_titles,retrieved_drug_names,retrieval_hit_at_k,refusal_correct,citation_present,retrieval_latency_ms,total_latency_ms,answer,manual_answer_correct,manual_grounded,manual_citation_correct
eval_001,answerable,en,What is Acyclovir Tablets USP indicated for?,False,,HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED,"Acyclovir Tablets, USP | PRESCRIBING INFORMATION | Acyclovir Tablets USP",False,,False,141.08,141.12,Error: UC3M_API_KEY is not set.,,,
eval_002,answerable,en,What is the dosage and administration guidance for Acyclovir Tablets USP?,False,,ADVERSE REACTIONS | ADVERSE REACTIONS | OVERDOSAGE,PRESCRIBING INFORMATION | ACYCLOVIR CAPSULES USP | Acyclovir Tablets USP,False,,False,22.1,22.13,Error: UC3M_API_KEY is not set.,,,
eval_003,answerable,en,What warnings are listed for Acyclovir Tablets USP?,False,,HOW SUPPLIED | HOW SUPPLIED | ADVERSE REACTIONS,"Acyclovir Tablets USP | Acyclovir Tablets, USP | PRESCRIBING INFORMATION",False,,False,19.41,19.45,Error: UC3M_API_KEY is not set.,,,
eval_004,answerable,en,What are the contraindications for Acyclovir Tablets USP?,False,,CONTRAINDICATIONS | CONTRAINDICATIONS | HOW SUPPLIED,"Acyclovir Tablets USP | ACYCLOVIR CAPSULES, USP | Acyclovir Tablets USP",False,,False,14.22,14.24,Error: UC3M_API_KEY is not set.,,,
eval_005,answerable,en,"What is Cephalexin for Oral Suspension, USP used for?",False,,"16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance.","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN",False,,False,14.61,14.64,Error: UC3M_API_KEY is not set.,,,
eval_006,answerable,en,"What is the recommended dosage for Cephalexin for Oral Suspension, USP?",False,,Directions for Mixing | 2 DOSAGE AND ADMINISTRATION | 2 DOSAGE AND ADMINISTRATION,"Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,13.47,13.5,Error: UC3M_API_KEY is not set.,,,
eval_007,answerable,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?",False,,"16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | Administer the following dosing regimens for Cephalexin capsules, USP to patients with renal impairment [see Warnings and Precautions (5.4) and Use in Specific Populations (8.6 )].","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN",False,,False,13.62,13.69,Error: UC3M_API_KEY is not set.,,,
eval_008,answerable,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?",False,,"1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance.","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN",False,,False,13.72,13.77,Error: UC3M_API_KEY is not set.,,,
eval_009,answerable,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?",False,,1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | 5 WARNINGS AND PRECAUTIONS,"Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,12.98,13.03,Error: UC3M_API_KEY is not set.,,,
eval_010,answerable,en,What is BusPIRone Hydrochloride Tablets indicated for?,False,,"ADVERSE REACTIONS, Postmarketing Experience | DRUG INTERACTIONS | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied.","A-S Medication Solutions | Buspirone Hydrochloride Tablets, USP | BUSPIRONE",False,,False,23.49,23.53,Error: UC3M_API_KEY is not set.,,,
eval_011,answerable,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,False,,DOSAGE AND ADMINISTRATION | DOSAGE AND ADMINISTRATION | DOSAGE AND ADMINISTRATION,"A-S Medication Solutions | BusPIRone Hydrochloride Tablets | Buspirone Hydrochloride Tablets, USP",False,,False,12.32,12.35,Error: UC3M_API_KEY is not set.,,,
