id,language,original_question,english_translation,expected_support,retrieved_documents,hit,recall,precision,mrr,latency_ms
eval_001,en,What is Acyclovir Tablets USP indicated for?,What is Acyclovir Tablets USP indicated for?,"[('acyclovir tablets usp', 'indications and usage')]","[('description', 'usage_clinical'), ('description', 'usage_clinical'), ('acyclovir tablets usp rx only', 'usage_clinical'), ('acyclovir tablets usp rx only', 'usage_clinical'), ('acyclovir tablets usp rx only', 'usage_clinical')]",1,1.0,0.6,0.3333,854.07
eval_002,en,What is the dosage and administration for Acyclovir Tablets USP?,What is the dosage and administration for Acyclovir Tablets USP?,"[('acyclovir tablets usp', 'dosage and administration')]","[('acyclovir tablets usp400 mg and 800 mg', 'general_info'), ('prescribing information', 'product_logistics'), ('acyclovir tablets usp 400 mg and 800 mg', 'product_logistics'), ('acyclovir capsules usp200 mg', 'general_info'), ('acyclovir tablets usp 400 mg', 'general_info')]",0,0.0,0.0,0.0,121.02
eval_003,en,What warnings are listed for Acyclovir Tablets USP?,What warnings are listed for Acyclovir Tablets USP?,"[('acyclovir tablets usp', 'warnings')]","[('acyclovir tablets usp rx only', 'safety_risk'), ('acyclovir tablets usp rx only', 'safety_risk'), ('acyclovir tablets usp rx only', 'safety_risk'), ('acyclovir tablets usp rx only', 'safety_risk'), ('acyclovir tablets usp rx only', 'safety_risk')]",1,1.0,1.0,1.0,108.07
eval_004,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?","What are the contraindications for Cephalexin for Oral Suspension, USP?","[('cephalexin for oral suspension usp', '4 contraindications')]","[('cephalexin for oral suspension usp', 'safety_risk'), ('cephalexin for oral suspension usprx only', 'safety_risk'), ('cephalexin for oral suspension usp rx only', 'safety_risk'), ('cephalexin for oral suspension usp', 'safety_risk'), ('description', 'safety_risk')]",1,1.0,0.8,1.0,87.23
eval_005,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?","What drug interactions are described for Cephalexin for Oral Suspension, USP?","[('cephalexin for oral suspension usp', '7 drug interactions')]","[('cephalexin for oral suspension usp', 'adverse_interactions'), ('cephalexin for oral suspension usp', 'adverse_interactions'), ('cephalexin for oral suspension usp', 'adverse_interactions'), ('cephalexin for oral suspension usp', 'adverse_interactions'), ('cephalexin for oral suspension usp', 'adverse_interactions')]",1,1.0,1.0,1.0,71.7
eval_006,en,What is BusPIRone Hydrochloride Tablets indicated for?,What is BusPIRone Hydrochloride Tablets indicated for?,"[('buspirone hydrochloride tablets', 'indications and usage')]","[('buspirone hydrochloride tablets usp patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride tablets usppatient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'product_logistics')]",0,0.0,0.0,0.0,68.0
eval_007,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,What is the starting dose for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride tablets', 'dosage and administration')]","[('buspirone hydrochloride tablets usp', 'usage_clinical'), ('buspirone hydrochloride tablets usp', 'usage_clinical'), ('buspirone hydrochloride tablets usp', 'usage_clinical'), ('buspirone hydrochloride tablets usp', 'usage_clinical'), ('buspirone hydrochloride tablet', 'usage_clinical')]",1,1.0,1.0,1.0,67.34
eval_008,en,What are the contraindications for Acyclovir Tablets USP?,What are the contraindications for Acyclovir Tablets USP?,"[('acyclovir tablets usp', 'contraindications')]","[('acyclovir tablets usp 400 mg', 'safety_risk'), ('acyclovir tablets uspnivagen pharmaceuticals inc', 'safety_risk'), ('acyclovir tablets usp400 mg and 800 mg', 'safety_risk'), ('acyclovir tablets usp400 mg and 800 mg', 'safety_risk'), ('acyclovir tablets usp400 mg and 800 mg', 'safety_risk')]",1,1.0,1.0,1.0,65.36
eval_009,en,What is Cephalexin for Oral Suspension USP used for?,What is Cephalexin for Oral Suspension USP used for?,"[('cephalexin for oral suspension usp', '1 indications and usage')]","[('cephalexin for oral suspension usp', 'general_info'), ('cephalexin for oral suspension usprx only', 'general_info'), ('cephalexin for oral suspension usprx only', 'general_info'), ('description', 'general_info'), ('cephalexin for oral suspension usp rx only', 'general_info')]",0,0.0,0.0,0.0,62.57
eval_010,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","[('cephalexin for oral suspension usp', '5 warnings and precautions')]","[('cephalexin for oral suspension usp', 'safety_risk'), ('cephalexin for oral suspension usprx only', 'safety_risk'), ('cephalexin for oral suspension usp rx only', 'safety_risk'), ('cephalexin for oral suspension usp', 'safety_risk'), ('cephalexin for oral suspension usprx only', 'safety_risk')]",1,1.0,1.0,1.0,73.93
eval_011,en,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,"[('cephalexin for oral suspension usp', '2 dosage and administration')]","[('cephalexin for oral suspension usp', 'usage_clinical'), ('cephalexin for oral suspension usp', 'general_info'), ('cephalexin for oral suspension usp', 'general_info'), ('cephalexin for oral suspension usp', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for oral suspension usp for oral useinitial us approval 1971', 'general_info')]",1,1.0,0.2,1.0,66.52
eval_012,en,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride tablets', 'adverse reactions')]","[('buspirone hydrochloride tablets usp rx only patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'general_info'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'general_info'), ('buspirone hydrochloride tablets usp', 'adverse_interactions'), ('buspirone hydrochloride tablets usp', 'adverse_interactions')]",1,1.0,0.6,1.0,73.63
eval_013,en,What are the warnings listed for BusPIRone Hydrochloride Tablets?,What are the warnings listed for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride tablets', 'warnings')]","[('buspirone hydrochloride tablets usp patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride tablets usppatient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'safety_risk')]",1,1.0,1.0,1.0,62.32
eval_014,en,What are the contraindications for BusPIRone Hydrochloride Tablets?,What are the contraindications for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride tablets', 'contraindications')]","[('buspirone hydrochloride tablets usp rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride tablets usp rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride tablets usp rx only patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride tablets usp patient instruction sheet included', 'general_info'), ('buspirone hydrochloride tablets usp 5 mg 75 mg 10 mg 15 mg or 30 mg rx only', 'adverse_interactions')]",0,0.0,0.0,0.0,63.58
