id,language,original_question,english_translation,expected_support,retrieved_documents,hit,recall,precision,mrr,latency_ms
eval_001,en,What is Acyclovir Tablets USP indicated for?,What is Acyclovir Tablets USP indicated for?,"[('acyclovir', 'usage_clinical')]","[('description', 'usage_clinical'), ('description', 'usage_clinical')]",0,0.0,0.0,0.0,74.38
eval_002,en,What is the dosage and administration for Acyclovir Tablets USP?,What is the dosage and administration for Acyclovir Tablets USP?,"[('acyclovir', 'usage_clinical')]",[],0,0.0,0.0,0.0,548.96
eval_003,en,What warnings are listed for Acyclovir Tablets USP?,What warnings are listed for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]",[],0,0.0,0.0,0.0,70.16
eval_004,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?","What are the contraindications for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('description', 'safety_risk')]",1,1.0,0.8,1.0,85.51
eval_005,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?","What drug interactions are described for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'adverse_interactions')]","[('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions')]",1,1.0,1.0,1.0,77.54
eval_006,en,What is BusPIRone Hydrochloride Tablets indicated for?,What is BusPIRone Hydrochloride Tablets indicated for?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride usppatient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics')]",0,0.0,0.0,0.0,158.09
eval_007,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,What is the starting dose for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical')]",1,1.0,1.0,1.0,1171.36
eval_008,en,What are the contraindications for Acyclovir Tablets USP?,What are the contraindications for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]",[],0,0.0,0.0,0.0,432.05
eval_009,en,What is Cephalexin for Oral Suspension USP used for?,What is Cephalexin for Oral Suspension USP used for?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin for', 'general_info'), ('cephalexin for usprx only', 'general_info'), ('cephalexin for usprx only', 'general_info'), ('description', 'general_info'), ('cephalexin for', 'general_info')]",0,0.0,0.0,0.0,67.52
eval_010,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk')]",1,1.0,1.0,1.0,71.77
eval_011,en,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,What is the recommended dosage of Cephalexin for Oral Suspension USP for adults?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin for', 'usage_clinical'), ('cephalexin for', 'general_info'), ('cephalexin for', 'general_info'), ('cephalexin for', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for for useinitial us approval 1971', 'general_info')]",1,1.0,0.2,1.0,66.26
eval_012,en,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,What are the adverse reactions reported for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride', 'adverse_interactions'), ('buspirone hydrochloride', 'adverse_interactions')]",1,1.0,0.6,1.0,67.51
eval_013,en,What are the warnings listed for BusPIRone Hydrochloride Tablets?,What are the warnings listed for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'safety_risk')]","[('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride usppatient instruction sheet included', 'safety_risk'), ('buspirone hydrochloride patient instruction sheet included', 'safety_risk')]",1,1.0,1.0,1.0,67.73
eval_014,en,What are the contraindications for BusPIRone Hydrochloride Tablets?,What are the contraindications for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'safety_risk')]","[('buspirone hydrochloride rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride rx onlypatient instruction sheet included', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'general_info'), ('buspirone hydrochloride 5 75 10 15 or 30', 'adverse_interactions')]",0,0.0,0.0,0.0,63.58
eval_015,en,What drug interactions are described for BusPIRone Hydrochloride Tablets?,What drug interactions are described for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions')]",1,1.0,1.0,1.0,63.5
eval_016,en,What are the clinical pharmacology details for Acyclovir Tablets USP?,What are the clinical pharmacology details for Acyclovir Tablets USP?,"[('acyclovir', 'pharmacology')]","[('acyclovir usp400 and 800', 'general_info'), ('acyclovir 400', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info')]",0,0.0,0.0,0.0,62.95
eval_017,en,What precautions should be taken when using Acyclovir Tablets USP?,What precautions should be taken when using Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]",[],0,0.0,0.0,0.0,64.37
