id,language,original_question,english_translation,expected_support,retrieved_documents,hit,recall,precision,mrr,latency_ms
eval_001,en,What is Acyclovir Tablets USP indicated for?,What is Acyclovir Tablets USP indicated for?,"[('acyclovir', 'usage_clinical')]","[('description', 'usage_clinical'), ('description', 'usage_clinical'), ('acyclovir', 'usage_clinical')]",1,1.0,0.3333,0.3333,68.19
eval_002,en,What is the dosage and administration for Acyclovir Tablets USP?,What is the dosage and administration for Acyclovir Tablets USP?,"[('acyclovir', 'usage_clinical')]","[('acyclovir usp400 and 800', 'general_info'), ('prescribing information', 'product_logistics'), ('acyclovir 400 and 800', 'product_logistics')]",0,0.0,0.0,0.0,66.5
eval_003,en,What warnings are listed for Acyclovir Tablets USP?,What warnings are listed for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]","[('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk'), ('acyclovir', 'safety_risk')]",1,1.0,1.0,1.0,61.75
eval_004,en,"What are the contraindications for Cephalexin for Oral Suspension, USP?","What are the contraindications for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk')]",1,1.0,1.0,1.0,65.21
eval_005,en,"What drug interactions are described for Cephalexin for Oral Suspension, USP?","What drug interactions are described for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'adverse_interactions')]","[('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions')]",1,1.0,1.0,1.0,63.47
eval_006,en,What is BusPIRone Hydrochloride Tablets indicated for?,What is BusPIRone Hydrochloride Tablets indicated for?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride usppatient instruction sheet included', 'product_logistics')]",0,0.0,0.0,0.0,64.72
eval_007,en,What is the starting dose for BusPIRone Hydrochloride Tablets?,What is the starting dose for BusPIRone Hydrochloride Tablets?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical')]",1,1.0,1.0,1.0,71.43
eval_008,en,What are the contraindications for Acyclovir Tablets USP?,What are the contraindications for Acyclovir Tablets USP?,"[('acyclovir', 'safety_risk')]","[('acyclovir 400', 'safety_risk'), ('acyclovir uspnivagen pharmaceuticals inc', 'safety_risk'), ('acyclovir usp400 and 800', 'safety_risk')]",1,1.0,1.0,1.0,67.68
eval_009,en,What is Cephalexin for Oral Suspension USP used for?,What is Cephalexin for Oral Suspension USP used for?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin for', 'general_info'), ('cephalexin for usprx only', 'general_info'), ('cephalexin for usprx only', 'general_info')]",0,0.0,0.0,0.0,66.33
eval_010,en,"What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","What warnings and precautions are listed for Cephalexin for Oral Suspension, USP?","[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk')]",1,1.0,1.0,1.0,71.53
